abbreviation, officialName, equation, subSystem, proteinClass, proteinGeneAssociation, geneAssociation, proteinAssociation
"NDPK1","nucleoside-diphosphate kinase (ATP:GDP)","[c] : atp + gdp <==> adp + gtp","Nucleotide Salvage Pathway","2.7.4.6","Ynk1 (YKL067W) ","YKL067W","Ynk1"
"NDPK2","nucleoside-diphosphate kinase (ATP:UDP)","[c] : atp + udp <==> adp + utp","Nucleotide Salvage Pathway","2.7.4.6","Ynk1 (YKL067W) ","YKL067W","Ynk1"
"NDPK3","nucleoside-diphosphate kinase (ATP:CDP)","[c] : atp + cdp <==> adp + ctp","Nucleotide Salvage Pathway","2.7.4.6","Ynk1 (YKL067W) ","YKL067W","Ynk1"
"NDPK4","nucleoside-diphosphate kinase (ATP:dTDP)","[c] : atp + dtdp <==> adp + dttp","Nucleotide Salvage Pathway","2.7.4.6","Ynk1 (YKL067W) ","YKL067W","Ynk1"
"NDPK5","nucleoside-diphosphate kinase (ATP:dGDP)","[c] : atp + dgdp <==> adp + dgtp","Nucleotide Salvage Pathway","2.7.4.6","Ynk1 (YKL067W) ","YKL067W","Ynk1"
"NDPK6","nucleoside-diphosphate kinase (ATP:dUDP)","[c] : atp + dudp <==> adp + dutp","Nucleotide Salvage Pathway","2.7.4.6","Ynk1 (YKL067W) ","YKL067W","Ynk1"
"NDPK7","nucleoside-diphosphate kinase (ATP:dCDP)","[c] : atp + dcdp <==> adp + dctp","Nucleotide Salvage Pathway","2.7.4.6","Ynk1 (YKL067W) ","YKL067W","Ynk1"
"NDPK8","nucleoside-diphosphate kinase (ATP:dADP)","[c] : atp + dadp <==> adp + datp","Nucleotide Salvage Pathway","2.7.4.6","Ynk1 (YKL067W) ","YKL067W","Ynk1"
"NDPK9","nucleoside-diphosphate kinase (ATP:IDP)","[c] : atp + idp <==> adp + itp","Nucleotide Salvage Pathway","2.7.4.6","Ynk1 (YKL067W) ","YKL067W","Ynk1"
"NFORTYRt","N,N-bisformyl-dityrosine transport (extracellular)","Nbfortyr[c] --> Nbfortyr[e]","Transport, Extracellular","","Dtr1 (YBR180W) ","YBR180W","Dtr1"
"NFTYROX","N-formyltyrosine oxidase","[c] : (2) Nfortyr + h + nadph --> Nbfortyr + nadp","Tyrosine, Tryptophan, and Phenylalanine Metabolism","","( Dit2 (YDR402C)  and Ncp1 (YHR042W)  )","( YDR402C  and  YHR042W )","( Dit2 and Ncp1 )"
"NH4t","ammonia reversible transport","nh4[e] <==> nh4[c]","Transport, Extracellular","","( Mep1 (YGR121C)  ) or ( Mep2 (YNL142W)  ) or ( Mep3 (YPR138C)  )","( YGR121C  or  YNL142W  or  YPR138C )","( Mep1 ) or ( Mep2 ) or ( Mep3 )"
"NH4ti","ammonia transport (efflux, cytosol to extracellular)","nh4[c] --> nh4[e]","Transport, Extracellular","","Ato3 (YDR384C) ","YDR384C","Ato3"
"NH4tm","NH3 mitochondrial transport","nh4[c] <==> nh4[m]","Transport, Mitochondrial","","","",""
"NH4tn","ammonia nuclear transport","nh4[c] <==> nh4[n]","Transport, Nuclear","","","",""
"NH4tp","ammonia peroxisomal transport","nh4[c] <==> nh4[x]","Transport, Peroxisomal","","","",""
"NMNAT","nicotinamide-nucleotide adenylyltransferase","[c] : atp + h + nmn --> nad + ppi","NAD Biosynthesis","2.7.7.1","Nma2 (YGR010W) ","YGR010W","Nma2"
"NMNATm","nicotinamide-nucleotide adenylyltransferase, mitochondrial","[m] : atp + h + nmn --> nad + ppi","NAD Biosynthesis","2.7.7.1","Nma1-m (YLR328W) ","YLR328W","Nma1-m"
"NMNTP","nmntp","h[e] + nmn[e] --> h[c] + nmn[c]","Transport, Extracellular","","","",""
"NMNt2m","NMN mitochondrial transport via proton symport","h[c] + nmn[c] <==> h[m] + nmn[m]","Transport, Mitochondrial","","","",""
"NMNt2p","NMN peroxisomal transport via proton symport","h[c] + nmn[c] <==> h[x] + nmn[x]","Transport, Peroxisomal","","","",""
"NNAMr","nicotinamidase, reversible","[c] : h2o + ncam <==> nac + nh4","NAD Biosynthesis","3.5.1.19","Pnc1 (YGL037C) ","YGL037C","Pnc1"
"NNAMrm","nicotinamidase, reversible, mitochondrial","[m] : h2o + ncam <==> nac + nh4","NAD Biosynthesis","3.5.1.19","Pnc1-m (YGL037C) ","YGL037C","Pnc1-m"
"NNAT","nicotinate-nucleotide adenylyltransferase","[c] : atp + h + nicrnt --> dnad + ppi","NAD Biosynthesis","2.7.7.18","Nma1 (YLR328W) ","YLR328W","Nma1"
"NNATm","nicotinate-nucleotide adenylyltransferase, mitochondrial","[m] : atp + h + nicrnt --> dnad + ppi","NAD Biosynthesis","2.7.7.18","Nma1-m (YLR328W) ","YLR328W","Nma1-m"
"NNDPR","nicotinate-nucleotide diphosphorylase (carboxylating)","[c] : (2) h + prpp + quln --> co2 + nicrnt + ppi","NAD Biosynthesis","2.4.2.19","Bna6 (YFR047C) ","YFR047C","Bna6"
"NNDPRm","nicotinate-nucleotide diphosphorylase (carboxylating), mitochondrial","[m] : (2) h + prpp + quln --> co2 + nicrnt + ppi","NAD Biosynthesis","2.4.2.19","Bna6-m (YFR047C) ","YFR047C","Bna6-m"
"NNMT","Nicotinamide N-methyltransferase","[c] : amet + ncam --> 1mncam + ahcys","NAD Biosynthesis","2.1.1.1","Nnt1 (YLR285W) ","YLR285W","Nnt1"
"NTD1","5'-nucleotidase (dUMP)","[c] : dump + h2o --> duri + pi","Nucleotide Salvage Pathway","3.1.3.5","","",""
"NTD10","5'-nucleotidase (XMP)","[c] : h2o + xmp --> pi + xtsn","Nucleotide Salvage Pathway","3.1.3.5","","",""
"NTD11","5'-nucleotidase (IMP)","[c] : h2o + imp --> ins + pi","Nucleotide Salvage Pathway","3.1.3.5","Ush1 (YOR155C) ","YOR155C","Ush1"
"NTD2","5'-nucleotidase (UMP)","[c] : h2o + ump --> pi + uri","Nucleotide Salvage Pathway","3.1.3.5","Sdt1 (YGL224C) ","YGL224C","Sdt1"
"NTD3","5'-nucleotidase (dCMP)","[c] : dcmp + h2o --> dcyt + pi","Nucleotide Salvage Pathway","3.1.3.5","","",""
"NTD4","5'-nucleotidase (CMP)","[c] : cmp + h2o --> cytd + pi","Nucleotide Salvage Pathway","3.1.3.5","Sdt1 (YGL224C) ","YGL224C","Sdt1"
"NTD5","5'-nucleotidase (dTMP)","[c] : dtmp + h2o --> pi + thymd","Nucleotide Salvage Pathway","3.1.3.5","","",""
"NTD6","5'-nucleotidase (dAMP)","[c] : damp + h2o --> dad-2 + pi","Nucleotide Salvage Pathway","3.1.3.5","","",""
"NTD7","5'-nucleotidase (AMP)","[c] : amp + h2o --> adn + pi","Nucleotide Salvage Pathway","3.1.3.5","","",""
"NTD8","5'-nucleotidase (dGMP)","[c] : dgmp + h2o --> dgsn + pi","Nucleotide Salvage Pathway","3.1.3.5","","",""
"NTD9","5'-nucleotidase (GMP)","[c] : gmp + h2o --> gsn + pi","Nucleotide Salvage Pathway","3.1.3.5","","",""
"NTP3","nucleoside-triphosphatase (GTP)","[c] : gtp + h2o --> gdp + h + pi","Nucleotide Salvage Pathway","3.6.1.15","","",""
"NTP4","nucleoside-triphosphatase (dGTP)","[c] : dgtp + h2o --> dgdp + h + pi","Nucleotide Salvage Pathway","3.6.1.15","","",""
"NTRLASE","nitrilase","[c] : (2) h2o + ind3acnl --> ind3ac + nh4","Nitrogen Metabolism","3.5.5.1","( Nit1 (YIL164C)  ) or ( Nit3 (YLR351C)  ) or ( Nit2 (YJL126W)  )","( YIL164C  or  YLR351C  or  YJL126W )","( Nit1 ) or ( Nit3 ) or ( Nit2 )"
"NTRLASE2","nitrilase","[c] : aprop + (2) h2o --> ala-L + nh4","Other Amino Acid Metabolism","3.5.5.1","( Nit1 (YIL164C)  ) or ( Nit2 (YJL126W)  ) or ( Nit3 (YLR351C)  )","( YIL164C  or  YJL126W  or  YLR351C )","( Nit1 ) or ( Nit2 ) or ( Nit3 )"
"NTRLASE3","nitrilase","[c] : acybut + (2) h2o --> glu-L + nh4","Other Amino Acid Metabolism","3.5.5.1","( Nit1 (YIL164C)  ) or ( Nit3 (YLR351C)  ) or ( Nit2 (YJL126W)  )","( YIL164C  or  YLR351C  or  YJL126W )","( Nit1 ) or ( Nit3 ) or ( Nit2 )"
"O2t","o2 transport (diffusion)","o2[e] <==> o2[c]","Transport, Extracellular","","","",""
"O2ter","O2  transport, endoplasmic reticulum","o2[c] <==> o2[r]","Transport, Endoplasmic Reticular","","","",""
"O2tm","O2 transport (diffusion)","o2[c] <==> o2[m]","Transport, Mitochondrial","","","",""
"OAAt","Oxaloacetate transport","oaa[c] <==> oaa[e]","Transport, Extracellular","","","",""
"OAAt2m","oxaloacetate transport, mitochondrial","h[c] + oaa[c] <==> h[m] + oaa[m]","Transport, Mitochondrial","","Oac1-m (YKL120W) ","YKL120W","Oac1-m"
"OBDHm","2-Oxobutanoate dehydrogenase","[m] : 2obut + coa + nad --> co2 + nadh + ppcoa","Threonine and Lysine Metabolism","1.2.7.2","","",""
"OCBTi","ornithine carbamoyltransferase, irreversible","[c] : cbp + orn --> citr-L + h + pi","Arginine and Proline Metabolism","2.1.3.3","Arg3 (YJL088W) ","YJL088W","Arg3"
"OCDCAt","Octadecanoate (n-C18:0) transport in via uniport","ocdca[e] --> ocdca[c]","Transport, Extracellular","","","",""
"OCDCEAt","Octadecenoate (n-C18:1) transport in via uniport","ocdcea[e] --> ocdcea[c]","Transport, Extracellular","","","",""
"OCDCYAt","Octadecynoate (n-C18:2) transport in via uniport","ocdcya[e] --> ocdcya[c]","Transport, Extracellular","","","",""
"OHACT1","Alcohol Acetyltransferase (ethanol)","[c] : accoa + etoh --> aces + coa","Complex Alcohol Metabolism","2.3.1.84","( Atf1 (YOR377W)  ) or ( Atf2 (YGR177C)  )","( YOR377W  or  YGR177C )","( Atf1 ) or ( Atf2 )"
"OHACT2","Alcohol Acetyltransferase (isoamyl alcohol)","[c] : accoa + iamoh --> coa + iamac","Complex Alcohol Metabolism","2.3.1.84","( Atf1 (YOR377W)  ) or ( Atf2 (YGR177C)  )","( YOR377W  or  YGR177C )","( Atf1 ) or ( Atf2 )"
"OHACT3","Alcohol Acetyltransferase (2-methylbutanol)","[c] : 2mbtoh + accoa --> 2mbac + coa","Complex Alcohol Metabolism","2.3.1.84","( Atf1 (YOR377W)  ) or ( Atf2 (YGR177C)  )","( YOR377W  or  YGR177C )","( Atf1 ) or ( Atf2 )"
"OHACT4","Alcohol Acetyltransferase (isobutyl alcohol)","[c] : accoa + ibutoh --> coa + ibutac","Complex Alcohol Metabolism","2.3.1.84","( Atf1 (YOR377W)  ) or ( Atf2 (YGR177C)  )","( YOR377W  or  YGR177C )","( Atf1 ) or ( Atf2 )"
"OHACT5","Alcohol Acetyltransferase (Phenylethanol alcohol)","[c] : 2phetoh + accoa --> coa + pheac","Complex Alcohol Metabolism","2.3.1.84","( Atf1 (YOR377W)  ) or ( Atf2 (YGR177C)  )","( YOR377W  or  YGR177C )","( Atf1 ) or ( Atf2 )"
"OHPBAT","O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase","[c] : glu-L + ohpb <==> akg + phthr","Pyridoxine Metabolism","2.6.1.52","Ser1 (YOR184W) ","YOR184W","Ser1"
"OMCDC","2-Oxo-4-methyl-3-carboxypentanoate decarboxylation","[c] : 3c4mop + h --> 4mop + co2","Valine, Leucine, and Isoleucine Metabolism","","Bat2 (YJR148W) ","YJR148W","Bat2"
"OMCDCm","2-oxo-4-methyl-3-carboxypentanoate decarboxylation","[m] : 3c4mop + h --> 4mop + co2","Valine, Leucine, and Isoleucine Metabolism","","Bat1-m (YHR208W) ","YHR208W","Bat1-m"
"OMPDC","orotidine-5'-phosphate decarboxylase","[c] : h + orot5p --> co2 + ump","Purine and Pyrimidine Biosynthesis","4.1.1.23","Ura3 (YEL021W) ","YEL021W","Ura3"
"ORNDC","Ornithine Decarboxylase","[c] : h + orn --> co2 + ptrc","Arginine and Proline Metabolism","4.1.1.17","Spe1 (YKL184W) ","YKL184W","Spe1"
"ORNTA","ornithine transaminase","[c] : akg + orn --> glu-L + glu5sa","Arginine and Proline Metabolism","2.6.1.13","Car2 (YLR438W) ","YLR438W","Car2"
"ORNTACim","ornithine transacetylase, irreversible, mitochondrial","[m] : acorn + glu-L --> acglu + orn","Arginine and Proline Metabolism","2.3.1.35","Ecm40-m (YMR062C) ","YMR062C","Ecm40-m"
"ORNt2r","orntithine reversible transport in via proton symport","h[e] + orn[e] <==> h[c] + orn[c]","Transport, Extracellular","","( Gap1 (YKR039W)  ) or ( Can1 (YEL063C)  )","( YKR039W  or  YEL063C )","( Gap1 ) or ( Can1 )"
"ORNt3m","ornithine mitochondrial transport via proton antiport","h[c] + orn[m] <==> h[m] + orn[c]","Transport, Mitochondrial","","Ort1-m (YOR130C) ","YOR130C","Ort1-m"
"ORPT","orotate phosphoribosyltransferase","[c] : orot5p + ppi <==> orot + prpp","Purine and Pyrimidine Biosynthesis","2.4.2.10","( Ura5 (YML106W)  ) or ( Ura10 (YMR271C)  )","( YML106W  or  YMR271C )","( Ura5 ) or ( Ura10 )"
"OXAGm","non-enzymatic reaction","[m] : h + oxag <==> 2oxoadp + co2","Threonine and Lysine Metabolism","","","",""
"OXO2Ctm","2-oxodicarboylate transporter, mitochondrial","akg[m] + oxag[c] <==> akg[c] + oxag[m]","Transport, Mitochondrial","","( Odc1-m (YPL134C)  ) or ( Odc2-m (YOR222W)  )","( YPL134C  or  YOR222W )","( Odc1-m ) or ( Odc2-m )"
"P5CDm","1-pyrroline-5-carboxylate dehydrogenase, mitochondrial","[m] : 1pyr5c + (2) h2o + nad --> glu-L + h + nadh","Glutamate metabolism","1.5.1.12","","",""
"P5CR","pyrroline-5-carboxylate reductase","[c] : 1pyr5c + (2) h + nadph --> nadp + pro-L","Arginine and Proline Metabolism","1.5.1.2","Pro3 (YER023W) ","YER023W","Pro3"
"PACALDt","Phenylacetaldehyde transport (extracellular)","pacald[c] <==> pacald[e]","Transport, Extracellular","","","",""
"PACALDtm","Phenylacetaldehyde transport (mitochondrial)","pacald[c] <==> pacald[m]","Transport, Mitochondrial","","","",""
"PAK_SC","phosphatidate kinase, yeast-specific","[c] : atp + (0.01) pa_SC --> adp + (0.01) dagpy_SC","Phospholipid Biosynthesis","","","",""
"PAN4Ptm","panthetheine 4'-phosphate reversible mitochondrial transport","pan4p[c] <==> pan4p[m]","Transport, Mitochondrial","","","",""
"PANTS","pantothenate synthase","[c] : ala-B + atp + pant-R --> amp + h + pnto-R + ppi","Pantothenate and CoA Biosynthesis","6.3.2.1","Pan6 (YIL145C) ","YIL145C","Pan6"
"PANTtm","pantothenate mitochondrial transport","pant-R[c] <==> pant-R[m]","Transport, Mitochondrial","","","",""
"PAPSR","phosphoadenylyl-sulfate reductase (thioredoxin)","[c] : paps + trdrd --> (2) h + pap + so3 + trdox","Cysteine Metabolism","1.8.4.8","( Met16 (YPR167C)  and Trx1 (YLR043C)  ) or ( Met16 (YPR167C)  and Trx2 (YGR209C)  )","( ( YPR167C  and  YLR043C )  or  ( YPR167C  and  YGR209C ) )","( Met16 and Trx1 ) or ( Met16 and Trx2 )"
"PAPt","PAP reversible uniport","pap[e] <==> pap[c]","Transport, Extracellular","","","",""
"PAPtm","Adenosine 3',5'-bisphosphate mitochondrial transport","pap[c] <==> pap[m]","Transport, Mitochondrial","","","",""
"PAtm_SC","phosphatidate reversible transport, mitochondrial, yeast-specific","pa_SC[c] <==> pa_SC[m]","Transport, Mitochondrial","","","",""
"PC","pyruvate carboxylase","[c] : atp + hco3 + pyr --> adp + h + oaa + pi","Anaplerotic reactions","6.4.1.1","( Pyc1 (YGL062W)  ) or ( Pyc2 (YBR218C)  )","( YGL062W  or  YBR218C )","( Pyc1 ) or ( Pyc2 )"
"PCDAGAT","phosphatidylcholine-diacylglycerol acyltransferase","[c] : 12dgr_SC + pc_SC --> 1agpc_SC + triglyc_SC","Glycerolipid Metabolism","2.3.1.43","Lro1 (YNR008W) ","YNR008W","Lro1"
"PDE1","3',5'-cyclic-nucleotide phosphodiesterase","[c] : camp + h2o --> amp + h","Purine and Pyrimidine Biosynthesis","3.1.4.17","( Pde2 (YOR360C)  ) or ( Pde1 (YGL248W)  )","( YOR360C  or  YGL248W )","( Pde2 ) or ( Pde1 )"
"PDE2","3',5'-cyclic-nucleotide phosphodiesterase","[c] : 35cdamp + h2o --> damp + h","Purine and Pyrimidine Biosynthesis","3.1.4.17","Pde2 (YOR360C) ","YOR360C","Pde2"
"PDE3","3',5'-cyclic-nucleotide phosphodiesterase","[c] : 35cimp + h2o --> h + imp","Purine and Pyrimidine Biosynthesis","3.1.4.17","Pde2 (YOR360C) ","YOR360C","Pde2"
"PDE4","3',5'-cyclic-nucleotide phosphodiesterase","[c] : 35cgmp + h2o --> gmp + h","Purine and Pyrimidine Biosynthesis","3.1.4.17","Pde2 (YOR360C) ","YOR360C","Pde2"
"PDE5","3',5'-cyclic-nucleotide phosphodiesterase","[c] : 35ccmp + h2o --> cmp + h","Purine and Pyrimidine Biosynthesis","3.1.4.17","Pde2 (YOR360C) ","YOR360C","Pde2"
"PDHcm","pyruvate dehydrogenase (dihydrolipoamide dehydrogenase)","[m] : dhlam + nad --> h + lpam + nadh","Glycolysis/Gluconeogenesis","1.8.1.4","( Kgd1-m (YIL125W)  and Kgd2-m (YDR148C)  and PdE3-m (YFL018C)  )","( YIL125W  and  YDR148C  and  YFL018C )","( Kgd1-m and Kgd2-m and PdE3-m )"
"PDHm","pyruvate dehydrogenase","[m] : coa + nad + pyr --> accoa + co2 + nadh","Glycolysis/Gluconeogenesis","1.2.4.1","( PdE1-m ( YBR221C and YER178W )  and PdE2-m (YNL071W)  and PdE3-m (YFL018C)  and Pdx1-m (YGR193C)  )","( ( YBR221C  and  YER178W )  and  YNL071W  and  YFL018C  and  YGR193C )","( PdE1-m and PdE2-m and PdE3-m and Pdx1-m )"
"PDX5PO","pyridoxine 5'-phosphate oxidase","[c] : o2 + pdx5p <==> h2o2 + pydx5p","Pyridoxine Metabolism","1.4.3.5","Pdx3 (YBR035C) ","YBR035C","Pdx3"
"PENDPtm","all-trans-Pentaprenyl diphosphate transport, mitochondrial","pendp[c] <==> pendp[m]","Transport, Mitochondrial","","","",""
"PEPAT","Peptide alpha-N-acetyltransferase","[c] : accoa + pepd --> apep + coa + h","Other Amino Acid Metabolism","2.3.1.88","( Nat1 (YDL040C)  ) or ( Nat2 (YGR147C)  )","( YDL040C  or  YGR147C )","( Nat1 ) or ( Nat2 )"
"PEPDt3","peptide transport in via proton symport","h[e] + pepd[e] --> h[c] + pepd[c]","Transport, Extracellular","","Ptr2 (YKR093W) ","YKR093W","Ptr2"
"PETHCT","phosphoethanolamine cytidyltransferase","[c] : ctp + ethamp + h --> cdpea + ppi","Phospholipid Biosynthesis","2.7.7.14","Muq1 (YGR007W) ","YGR007W","Muq1"
"PETOHM_SC","phosphatidylethanolamine N-methyltransferase, yeast-specific","[c] : amet + (0.01) pe_SC --> ahcys + h + (0.01) ptdmeeta_SC","Phospholipid Biosynthesis","2.1.1.17","Cho2 (YGR157W) ","YGR157W","Cho2"
"PEtg_SC","phosphatidylethanolamine Golgi transport, yeast-specific","pe_SC[c] <==> pe_SC[g]","Transport, Golgi Apparatus","","","",""
"PEtm_SC","phosphatidylethanolamine mitochondrial transport, yeast-specific","pe_SC[c] <==> pe_SC[m]","Transport, Mitochondrial","","","",""
"PEtv_SC","phosphatidylethanolamine vacuolar transport, yeast-specific","pe_SC[c] <==> pe_SC[v]","Transport, Vacuolar","","","",""
"PFK","phosphofructokinase","[c] : atp + f6p --> adp + fdp + h","Glycolysis/Gluconeogenesis","2.7.1.11","Pfk ( YGR240C and YMR205C ) ","( YGR240C  and  YMR205C )","Pfk"
"PFK26","6-phosphofructo-2-kinase","[c] : atp + f6p --> adp + f26bp + h","Fructose and Mannose Metabolism","2.7.1.105","( Pfk26 (YIL107C)  ) or ( Pfk27 (YOL136C)  )","( YIL107C  or  YOL136C )","( Pfk26 ) or ( Pfk27 )"
"PFK_2","Phosphofructokinase","[c] : atp + tag6p-D --> adp + h + tagdp-D","Glycolysis/Gluconeogenesis","2.7.1.11","Pfk ( YGR240C and YMR205C ) ","( YGR240C  and  YMR205C )","Pfk"
"PFK_3","phosphofructokinase (s7p)","[c] : atp + s7p --> adp + h + s17bp","Glycolysis/Gluconeogenesis","2.7.1.11","Pfk ( YGR240C and YMR205C ) ","( YGR240C  and  YMR205C )","Pfk"
"PGAMT","phosphoglucosamine mutase","[c] : gam1p <==> gam6p","Glutamate metabolism","5.4.2.10","Pcm1 (YEL058W) ","YEL058W","Pcm1"
"PGCD","phosphoglycerate dehydrogenase","[c] : 3pg + nad --> 3php + h + nadh","Glycine and Serine Metabolism","1.1.1.95","( Ser3 (YER081W)  ) or ( Ser33 (YIL074C)  )","( YER081W  or  YIL074C )","( Ser3 ) or ( Ser33 )"
"PGI","glucose-6-phosphate isomerase","[c] : g6p <==> f6p","Glycolysis/Gluconeogenesis","5.3.1.9","Pgi1 (YBR196C) ","YBR196C","Pgi1"
"PGK","phosphoglycerate kinase","[c] : 3pg + atp <==> 13dpg + adp","Glycolysis/Gluconeogenesis","2.7.2.3","Pgk1 (YCR012W) ","YCR012W","Pgk1"
"PGL","6-phosphogluconolactonase","[c] : 6pgl + h2o --> 6pgc + h","Pentose Phosphate Pathway","3.1.1.31","( Sol1 (YNR034W)  ) or ( Sol3 (YHR163W)  ) or ( Sol4 (YGR248W)  ) or ( Sol2 (YCR073W-A)  )","( YNR034W  or  YHR163W  or  YGR248W  or  YCR073W-A )","( Sol1 ) or ( Sol3 ) or ( Sol4 ) or ( Sol2 )"
"PGM","phosphoglycerate mutase","[c] : 2pg <==> 3pg","Glycolysis/Gluconeogenesis","5.4.2.1","( Gpm1 (YKL152C)  ) or ( Gpm2 (YDL021W)  ) or ( Gpm3 (YOL056W)  )","( YKL152C  or  YDL021W  or  YOL056W )","( Gpm1 ) or ( Gpm2 ) or ( Gpm3 )"
"PGMT","phosphoglucomutase","[c] : g1p <==> g6p","Pentose Phosphate Pathway","5.4.2.2","( Pgm1 (YKL127W)  ) or ( Pgm2.1 (YMR105C)  )","( YKL127W  or  YMR105C )","( Pgm1 ) or ( Pgm2.1 )"
"PGPPAm_SC","phosphatidylglycerol phosphate phosphatase A, yeast-specific, mitochondrial","[m] : h2o + (0.01) pgp_SC --> (0.01) pg_SC + pi","Phospholipid Biosynthesis","3.1.3.27","","",""
"PHCDm","L-1-pyrroline-3-hydroxy-5-carboxylate dehydrogenase","[m] : 1p3h5c + (2) h2o + nad --> e4hglu + h + nadh","Arginine and Proline Metabolism","1.5.1.12","Put2-m (YHR037W) ","YHR037W","Put2-m"
"PHCHGSm","L-1-Pyrroline-3-hydroxy-5-carboxylate spontaneous conversion to L-4-Hydroxyglutamate semialdehyde, mitochondrial","[m] : 1p3h5c + h + h2o <==> 4hglusa","Arginine and Proline Metabolism","","","",""
"PHEACt","Phenethyl acetate transport (extracellular)","pheac[c] --> pheac[e]","Transport, Extracellular","","","",""
"PHETA1","phenylalanine transaminase","[c] : akg + phe-L <==> glu-L + phpyr","Tyrosine, Tryptophan, and Phenylalanine Metabolism","2.6.1.58","( Aro9 (YHR137W)  ) or ( Aro8 (YGL202W)  )","( YHR137W  or  YGL202W )","( Aro9 ) or ( Aro8 )"
"PHETRS","Phenylalanyl-tRNA synthetase","[c] : atp + phe-L + trnaphe --> amp + phetrna + ppi","tRNA charging","6.1.1.20","Frs ( YFL022C and YLR060W ) ","( YFL022C  and  YLR060W )","Frs"
"PHETRSm","phenylalanyl-tRNA synthetase, mitochondrial","[m] : atp + phe-L + trnaphe --> amp + phetrna + ppi","tRNA charging","6.1.1.20","Msf1-m (YPR047W) ","YPR047W","Msf1-m"
"PHEt2m","Phenylalanine mitochondrial transport via proton symport","h[m] + phe-L[m] <==> h[c] + phe-L[c]","Transport, Mitochondrial","","","",""
"PHEt2r","L-phenylalanine reversible transport via proton symport","h[e] + phe-L[e] <==> h[c] + phe-L[c]","Transport, Extracellular","","( Gap1 (YKR039W)  ) or ( Agp1 (YCL025C)  ) or ( Tat2 (YOL020W)  ) or ( Bap2 (YBR068C)  ) or ( Bap3 (YDR046C)  )","( YKR039W  or  YCL025C  or  YOL020W  or  YBR068C  or  YDR046C )","( Gap1 ) or ( Agp1 ) or ( Tat2 ) or ( Bap2 ) or ( Bap3 )"
"PI35BP5P_SC","1-phosphatidylinositol-3,5-bisphosphate 5-phosphatase, yeast-specific","[c] : h2o + (0.01) ptd135bp_SC --> pi + (0.01) ptd3ino_SC","Phospholipid Biosynthesis","","( Inp52 (YNL106C)  ) or ( Inp53 (YOR109W)  ) or ( Sac1 (YKL212W)  )","( YNL106C  or  YOR109W  or  YKL212W )","( Inp52 ) or ( Inp53 ) or ( Sac1 )"
"PI3P4K_SC","phosphatidylinositol-3-phosphate 4-kinase, yeast-specific","[c] : atp + (0.01) ptd3ino_SC --> adp + h + (0.01) ptd134bp_SC","Phospholipid Biosynthesis","","","",""
"PI3P5K_SC","phosphatidylinositol-3-phosphate 5-kinase, yeast-specfic","[c] : atp + (0.01) ptd3ino_SC --> adp + h + (0.01) ptd135bp_SC","Phospholipid Biosynthesis","","Fab1 (YFR019W) ","YFR019W","Fab1"
"PI45BP5P_SC","1-phosphatidylinositol-4,5-bisphosphate 5-phosphatase, yeast-specific","[c] : h2o + (0.01) ptd145bp_SC --> pi + (0.01) ptd4ino_SC","Phospholipid Biosynthesis","","( Inp52 (YNL106C)  ) or ( Inp53 (YOR109W)  ) or ( Inp54 (YOL065C)  ) or ( Inp51 (YIL002C)  )","( YNL106C  or  YOR109W  or  YOL065C  or  YIL002C )","( Inp52 ) or ( Inp53 ) or ( Inp54 ) or ( Inp51 )"
"PI45BPP_SC","1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase, yeast-specific","[c] : h2o + (0.01) ptd145bp_SC --> (0.01) 12dgr_SC + h + mi145p","Phospholipid Biosynthesis","3.1.4.11","Plc1 (YPL268W) ","YPL268W","Plc1"
"PI4P5K_SC","phosphatidylinositol-4-phosphate 5-kinase, yeast-specfic","[c] : atp + (0.01) ptd4ino_SC --> adp + h + (0.01) ptd145bp_SC","Phospholipid Biosynthesis","2.7.1.68","Mss4 (YDR208W) ","YDR208W","Mss4"
"PIN3K_SC","1-phosphatidylinositol 3-kinase, yeast-specific","[c] : atp + (0.01) ptd1ino_SC --> adp + h + (0.01) ptd3ino_SC","Phospholipid Biosynthesis","2.7.1.137","( Tor2 (YKL203C)  ) or ( Vps34 (YLR240W)  ) or ( Tor1 (YJR066W)  )","( YKL203C  or  YLR240W  or  YJR066W )","( Tor2 ) or ( Vps34 ) or ( Tor1 )"
"PIN4K_SC","phosphatidylinositol 4-kinase, yeast-specific","[c] : atp + (0.01) ptd1ino_SC --> adp + h + (0.01) ptd4ino_SC","Phospholipid Biosynthesis","2.7.1.67","( Pik1 (YNL267W)  ) or ( Stt4 (YLR305C)  )","( YNL267W  or  YLR305C )","( Pik1 ) or ( Stt4 )"
"PIN4Kn_SC","phosphatidylinositol 4-kinase, nuclear, yeast-specifc","[n] : atp + (0.01) ptd1ino_SC --> adp + h + (0.01) ptd4ino_SC","Phospholipid Biosynthesis","2.7.1.67","Pik1-n (YNL267W) ","YNL267W","Pik1-n"
"PINOS_SC","phosphatidylinositol synthase, yeast-specific","[c] : (0.01) cdpdag_SC + inost --> cmp + h + (0.01) ptd1ino_SC","Phospholipid Biosynthesis","2.7.8.11","Pis1 (YPR113W) ","YPR113W","Pis1"
