GENE ID	GENE ALIASES	START	END	FUNCTIONAL ROLES	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
peg.2980	"ytxH,Bsu2973,NP_390855.1,gi|16080029,GeneID:937312"	3046181	3046181	general stress protein			
peg.2981	"ytxG,Bsu2974,NP_390856.1,gi|16080030,GeneID:937386"	3046667	3046667	General stress protein			
peg.2982	"murC,Bsu2975,NP_390857.1,gi|16080031,GeneID:937311"	3047260	3047260	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)			rxn02286
peg.2983	"ytpT,Bsu2976,NP_390858.1,gi|16080032,GeneID:937306"	3048808	3048808	Cell division protein FtsK	Bacterial_Cell_Division|Bacterial_Cytoskeleton	Cell Division and Cell Cycle	
peg.2984	"ytpS,Bsu2977,NP_390859.1,gi|16080033,GeneID:938522"	3050871	3050871				
peg.2985	"ytpR,Bsu2978,NP_390860.1,gi|16080034,GeneID:937964"	3051825	3051825	tRNA binding domain protein			
peg.2986	"ytpQ,Bsu2979,NP_390861.1,gi|16080035,GeneID:937506"	3052446	3052446	Uncharacterized SAV1743 homolog			
peg.2987	"ytpP,Bsu2980,NP_390862.1,gi|16080036,GeneID:936697"	3053270	3053270	Thioredoxin CDS_ID OB2235			
peg.2988	"ytoQ,Bsu2981,NP_390863.1,gi|16080037,GeneID:937302"	3053828	3053828				
peg.2989	"ytoP,Bsu2982,NP_390864.1,gi|16080038,GeneID:937301"	3054329	3054329	Deblocking aminopeptidase|Glutamyl aminopeptidase (EC 3.4.11.7)			
peg.2990	"ytzB,Bsu2983,NP_390865.1,gi|16080039,GeneID:937300"	3055561	3055561				
peg.2991	"malS,Bsu2984,NP_390866.1,gi|16080040,GeneID:938071"	3055931	3055931	NAD-dependent malic enzyme (EC 1.1.1.38)	"Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP"	Carbohydrates	rxn00159
peg.2992	"ytnP,Bsu2985,NP_390867.1,gi|16080041,GeneID:937981"	3057713	3057713				
peg.2993	"ytmQ,Bsu2986,NP_390868.1,gi|16080042,GeneID:936447"	3058629	3058629	tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)	tRNA_modification_Bacteria	RNA Metabolism	
peg.2994	"ytzH,Bsu2987,NP_390869.1,gi|16080043,GeneID:937298"	3059477	3059477				
peg.2995	"ytmP,Bsu2988,NP_390870.1,gi|16080044,GeneID:936622"	3059756	3059756	putative choline kinase involved in lipopolysaccharide biosynthesis			
peg.2996	"amyX,Bsu2989,NP_390871.1,gi|16080045,GeneID:937292"	3060733	3060733	Pullulanase (EC 3.2.1.41)			
peg.2997	"ytlR,Bsu2990,NP_390872.1,gi|16080046,GeneID:937289"	3062915	3062915	Transcription regulator [contains diacylglycerol kinase catalytic domain]			
peg.2998	"ytlQ,Bsu2991,NP_390873.1,gi|16080047,GeneID:938075"	3063893	3063893				
peg.2999	"ytlP,Bsu2992,NP_390874.1,gi|16080048,GeneID:937293"	3064833	3064833	2'-5' RNA ligase			
peg.3000	"ytkP,Bsu2993,NP_390875.1,gi|16080049,GeneID:936733"	3065533	3065533	Cysteine synthase (EC 2.5.1.47)	Cysteine_Biosynthesis|Methionine_Biosynthesis	Amino Acids and Derivatives	rxn00649|rxn05733
peg.3001	"ytjP,Bsu2994,NP_390876.1,gi|16080050,GeneID:937290"	3066502	3066502	Xaa-His dipeptidase (EC 3.4.13.3)			
peg.3002	"ytiP,Bsu2995,NP_390877.1,gi|16080051,GeneID:938070"	3067990	3067990	Xanthine/uracil/thiamine/ascorbate permease family protein			rxn05201|rxn05202|rxn09657|rxn05197
peg.3003	"ythQ,Bsu2996,NP_390878.1,gi|16080052,GeneID:937288"	3069327	3069327	Protein ecsB			
peg.3004	"ythP,Bsu2997,NP_390879.1,gi|16080053,GeneID:937282"	3070481	3070481	"ABC transporter, ATP-binding protein"			
peg.3005	"ytzE,Bsu2998,NP_390880.1,gi|16080054,GeneID:937281"	3071482	3071482	"transcriptional regulator, DeoR family"			
peg.3006	"ytzF,NP_390881.1,gi|16080055"	3071824	3071824	Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)	rRNA_modification_Bacteria	RNA Metabolism	
peg.3007	"ytzG,Bsu2999,NP_390882.1,gi|16080056,GeneID:936165"	3072282	3072282	Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)	rRNA_modification_Bacteria	RNA Metabolism	
peg.3008	"ytgP,Bsu3000,NP_390883.1,gi|16080057,GeneID:937937"	3072611	3072611	"Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids"	Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	
peg.3009	"ytfP,Bsu3001,NP_390884.1,gi|16080058,GeneID:937280"	3074753	3074753	NAD(FAD)-utilizing dehydrogenases			
peg.3010	"opuD,Bsu3002,NP_390885.1,gi|16080059,GeneID:937986"	3075898	3075898	Glycine betaine transporter OpuD	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05505|rxn05579
peg.3011	"yteV,Bsu3003,NP_390886.1,gi|16080060,GeneID:937278"	3077473	3077473	Protein cse60			
peg.3012	"yteU,Bsu3004,NP_390887.1,gi|16080061,GeneID:936405"	3077723	3077723	YTEU			
peg.3013	"yteT,Bsu3005,NP_390888.1,gi|16080062,GeneID:937274"	3078413	3078413	putative oxidoreductase protein			
peg.3014	"yteS,Bsu3006,NP_390889.1,gi|16080063,GeneID:937272"	3079711	3079711				
peg.3015	"yteR,Bsu3007,NP_390890.1,gi|16080064,GeneID:937273"	3080211	3080211	RhiN protein			
peg.3016	"yteQ,Bsu3008,NP_390891.1,gi|16080065,GeneID:936553"	3081340	3081340	"ABC transporter, permease protein"			
peg.3017	"yteP,Bsu3009,NP_390892.1,gi|16080066,GeneID:937271"	3081926	3081926	transmembrane lipoprotein			
peg.3018	"ytdP,Bsu3010,NP_390893.1,gi|16080067,GeneID:936234"	3082522	3082522	transcriptional regulator (AraC/XylS family)			
peg.3019	"ytcQ,Bsu3011,NP_390894.1,gi|16080068,GeneID:938090"	3085027	3085027	lipoprotein			
peg.3020	"ytcP,Bsu3012,NP_390895.1,gi|16080069,GeneID:938095"	3086402	3086402	Sugar ABC transporter permease protein ycjP			
peg.3021	"ytbQ,Bsu3013,NP_390896.1,gi|16080070,GeneID:937270"	3087469	3087469				
peg.3022	"bioI,Bsu3014,NP_390897.1,gi|16080071,GeneID:935928"	3088307	3088307	putative cytochrome P450 hydroxylase			
peg.3023	"bioB,Bsu3015,NP_390898.1,gi|16080072,GeneID:938180"	3089563	3089563	Biotin synthase (EC 2.8.1.6)	Biotin_biosynthesis|YgfZ	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn08180
peg.3024	"bioD,Bsu3016,NP_390899.1,gi|16080073,GeneID:937264"	3090573	3090573	Dethiobiotin synthetase (EC 6.3.3.3)	Biotin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02277
peg.3025	"bioF,Bsu3017,NP_390900.1,gi|16080074,GeneID:937268"	3091265	3091265	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	Biotin_biosynthesis|Sphingolipid_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Fatty Acids and Lipids"	rxn02297
peg.3026	"bioA,Bsu3018,NP_390901.1,gi|16080075,GeneID:936286"	3092424	3092424	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	Biotin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02312
peg.3027	"bioW,Bsu3019,NP_390902.1,gi|16080076,GeneID:938017"	3093760	3093760	Pimeloyl-CoA synthase (EC 6.2.1.14)	Biotin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02296
peg.3028	"ytaP,Bsu3020,NP_390903.1,gi|16080077,GeneID:937263"	3094746	3094746				
peg.3029	"msmR,Bsu3021,NP_390904.1,gi|16080078,GeneID:937257"	3095863	3095863	MSM (multiple sugar metabolism) operon regulatory protein	Fructooligosaccharides(FOS)_and_Raffinose_Utilization	Carbohydrates	
peg.3030	"msmE,Bsu3022,NP_390905.1,gi|16080079,GeneID:936693"	3096931	3096931	"Multiple sugar ABC transporter, substrate-binding protein"	Fructooligosaccharides(FOS)_and_Raffinose_Utilization	Carbohydrates	rxn05147|rxn05173|rxn05194|rxn05162|rxn05167|rxn05160
peg.3031	"amyD,Bsu3023,NP_390906.1,gi|16080080,GeneID:937258"	3098204	3098204	"Multiple sugar ABC transporter, membrane-spanning permease protein MsmF"	Fructooligosaccharides(FOS)_and_Raffinose_Utilization	Carbohydrates	rxn05147|rxn05173|rxn05194|rxn05162|rxn05167|rxn05160
peg.3032	"amyC,Bsu3024,NP_390907.1,gi|16080081,GeneID:935927"	3099112	3099112	"Multiple sugar ABC transporter, membrane-spanning permease protein MsmG"	Fructooligosaccharides(FOS)_and_Raffinose_Utilization	Carbohydrates	rxn05147|rxn05173|rxn05194|rxn05162|rxn05167|rxn05160
peg.3033	"melA,Bsu3025,NP_390908.1,gi|16080082,GeneID:937255"	3099962	3099962	Alpha-galactosidase (EC 3.2.1.22)	Fructooligosaccharides(FOS)_and_Raffinose_Utilization|Melibiose_Utilization	Carbohydrates	rxn00818|rxn03838|rxn00817|rxn02596
peg.3034	"ytwF,Bsu3026,NP_390909.1,gi|16080083,GeneID:936589"	3101282	3101282	rhodanese-like domain protein			
peg.3035	"leuS,Bsu3027,NP_390910.1,gi|16080084,GeneID:938102"	3101710	3101710	Leucyl-tRNA synthetase (EC 6.1.1.4)	tRNA_aminoacylation	Protein Metabolism	rxn05296
peg.3036	"ytvB,Bsu3028,NP_390911.1,gi|16080085,GeneID:937249"	3104551	3104551				
peg.3037	"ytvA,Bsu3029,NP_390912.1,gi|16080086,GeneID:937254"	3105291	3105291	Blue-light photoreceptor (Photoactive flavo- yellow protein) (Phototropin homolog)			
peg.3038	"yttB,Bsu3030,NP_390913.1,gi|16080087,GeneID:936526"	3106313	3106313	Multidrug resistance protein B			
peg.3039	"yttA,Bsu3031,NP_390914.1,gi|16080088,GeneID:937248"	3107701	3107701	YttA			
peg.3040	"ytsD,Bsu3032,NP_390915.1,gi|16080089,GeneID:938178"	3108478	3108478	Bacitracin export permease protein BceB	Bacitracin_Stress_Response	Stress Response	
peg.3041	"ytsC,Bsu3033,NP_390916.1,gi|16080090,GeneID:937246"	3110408	3110408	Bacitracin export ATP-binding protein BceA	Bacitracin_Stress_Response	Stress Response	
peg.3042	"ytsB,Bsu3034,NP_390917.1,gi|16080091,GeneID:936816"	3111271	3111271	Two-component sensor histidine kinase BceS	Bacitracin_Stress_Response	Stress Response	
peg.3043	"ytsA,Bsu3035,NP_390918.1,gi|16080092,GeneID:936307"	3112268	3112268	Two-component response regulator BceR	Bacitracin_Stress_Response	Stress Response	
peg.3044	"ytrF,Bsu3036,NP_390919.1,gi|16080093,GeneID:937247"	3113060	3113060	"ABC transporter, permease protein"			rxn05219|rxn05183
peg.3045	"ytrE,Bsu3037,NP_390920.1,gi|16080094,GeneID:937245"	3114360	3114360	Methionine ABC transporter ATP-binding protein	Methionine_Biosynthesis|Methionine_Degradation	Amino Acids and Derivatives	rxn05219|rxn05183
peg.3046	"ytrD,Bsu3038,NP_390921.1,gi|16080095,GeneID:936438"	3115070	3115070	YTRD			
peg.3047	"ytrC,Bsu3039,NP_390922.1,gi|16080096,GeneID:937243"	3116077	3116077	YTRC			
peg.3048	"ytrB,Bsu3040,NP_390923.1,gi|16080097,GeneID:936641"	3117057	3117057	"ABC transporter, ATP-binding protein"			rxn05219|rxn05183
peg.3049	"ytrA,Bsu3041,NP_390924.1,gi|16080098,GeneID:937244"	3117928	3117928	"transcriptional regulator, GntR family"			
peg.3050	"ytzC,Bsu3042,NP_390925.1,gi|16080099,GeneID:936521"	3118646	3118646				
peg.3051	"ytqA,Bsu3043,NP_390926.1,gi|16080100,GeneID:937240"	3119080	3119080	Fe-S OXIDOREDUCTASE (1.8.-.-)			
peg.3052	"ytqB,Bsu3044,NP_390927.1,gi|16080101,GeneID:938058"	3120045	3120045				
peg.3053	"ytpB,Bsu3045,NP_390928.1,gi|16080102,GeneID:936222"	3120619	3120619				
peg.3054	"ytpA,Bsu3046,NP_390929.1,gi|16080103,GeneID:937237"	3121743	3121743	Lysophospholipase (EC 3.1.1.5)|Monoglyceride lipase (EC 3.1.1.23)	Triacylglycerol_metabolism|Cannabinoid_biosynthesis	Fatty Acids and Lipids|Secondary Metabolism	
peg.3055	"ytoA,Bsu3047,NP_390930.1,gi|16080104,GeneID:937238"	3122571	3122571	bacterial transferase family protein			
peg.3056	"ytnA,Bsu3048,NP_390931.1,gi|16080105,GeneID:938118"	3123331	3123331	amino acid permease family protein			
peg.3057	"asnB,Bsu3049,NP_390932.1,gi|16080106,GeneID:937236"	3124858	3124858	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	"Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis"	Amino Acids and Derivatives	rxn00416
peg.3058	"metK,Bsu3050,NP_390933.1,gi|16080107,GeneID:937090"	3126906	3126906	S-adenosylmethionine synthetase (EC 2.5.1.6)	Methionine_Biosynthesis|Methionine_Degradation|Quorum_Sensing:_Autoinducer-2_Synthesis	Amino Acids and Derivatives|Regulation and Cell signaling	rxn00126
peg.3059	"pckA,Bsu3051,NP_390934.1,gi|16080108,GeneID:937235"	3128611	3128611	Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	"Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP|Serine-glyoxylate_cycle"	Carbohydrates	rxn00247
peg.3060	"ytmB,Bsu3052,NP_390935.1,gi|16080109,GeneID:937228"	3130233	3130233				
peg.3061	"ytmA,Bsu3053,NP_390936.1,gi|16080110,GeneID:936383"	3130527	3130527	Dipeptidyl aminopeptidases/acylaminoacyl-peptidase			
peg.3062	"ytlA,Bsu3054,NP_390937.1,gi|16080111,GeneID:935959"	3131451	3131451				
peg.3063	"ytlB,Bsu3055,NP_390938.1,gi|16080112,GeneID:937210"	3132137	3132137				
peg.3064	"ytlC,Bsu3056,NP_390939.1,gi|16080113,GeneID:937218"	3132467	3132467	Putative transporter			
peg.3065	"ytlD,Bsu3057,NP_390940.1,gi|16080114,GeneID:937097"	3133224	3133224	similar to ABC transporter (permease)			
peg.3066	"ytkD,Bsu3058,NP_390941.1,gi|16080115,GeneID:937072"	3134063	3134063	Low G+C gram positive nudix hydrolase YtkD (EC 3.6.-.-)	Nudix_proteins_(nucleoside_triphosphate_hydrolases)	Nucleosides and Nucleotides	
peg.3067	"ytkC,Bsu3059,NP_390942.1,gi|16080116,GeneID:937209"	3134748	3134748				
peg.3068	"dps,Bsu3060,NP_390943.1,gi|16080117,GeneID:937211"	3135318	3135318	Ferroxidase (EC 1.16.3.1)|Iron-binding ferritin-like antioxidant protein|Non-specific DNA-binding protein Dps	Oxidative_stress	Stress Response	
peg.3069	"ytkA,Bsu3061,NP_390944.1,gi|16080118,GeneID:937181"	3136018	3136018	alternate gene name: yznA			
peg.3070	"ytjB,Bsu3062,NP_390945.1,gi|16080119,GeneID:937106"	3136575	3136575	Autoinducer-2 production protein LuxS|S-ribosylhomocysteine lyase (EC 4.4.1.21)	Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)|Methionine_Biosynthesis	Carbohydrates|Amino Acids and Derivatives	rxn05958
peg.3071	"ytjA,Bsu3063,NP_390946.1,gi|16080120,GeneID:937207"	3137177	3137177	YidD			
peg.3072	"ytiB,Bsu3064,NP_390947.1,gi|16080121,GeneID:938087"	3137401	3137401	Carbonic anhydrase (EC 4.2.1.1)	"CO2_uptake,_carboxysome|Carboxysome"	Carbohydrates	rxn00102
peg.3073	"ytiA,Bsu3065,NP_390948.1,gi|16080122,GeneID:937208"	3138058	3138058	LSU ribosomal protein L31p	Ribosome_LSU_bacterial	Protein Metabolism	
peg.3074	"ythA,Bsu3066,NP_390949.1,gi|16080123,GeneID:937142"	3138526	3138526	Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	Cytochrome_c_oxidases_d@O_copy|Terminal_cytochrome_d_ubiquinol_oxidases|Terminal_cytochrome_oxidases	Respiration	rxn10045
peg.3075	"ythB,Bsu3067,NP_390950.1,gi|16080124,GeneID:937206"	3139886	3139886				rxn10045
peg.3076	"ythC,Bsu3068,NP_390951.1,gi|16080125,GeneID:936026"	3140975	3140975				
peg.3077	"ytgD,Bsu3069,NP_390952.1,gi|16080126,GeneID:937149"	3141157	3141157	"Manganese ABC transporter, inner membrane permease protein SitD"			rxn05149
peg.3078	"ytgC,Bsu3070,NP_390953.1,gi|16080127,GeneID:937203"	3142034	3142034	"Manganese ABC transporter, inner membrane permease protein SitC"			rxn05149
peg.3079	"ytgB,Bsu3071,NP_390954.1,gi|16080128,GeneID:937196"	3143347	3143347	"Manganese ABC transporter, ATP-binding protein SitB"			rxn05149
peg.3080	"ytgA,Bsu3072,NP_390955.1,gi|16080129,GeneID:937219"	3144118	3144118	"Manganese ABC transporter, periplasmic-binding protein SitA"			rxn05149
peg.3081	"ytfD,Bsu3073,NP_390956.1,gi|16080130,GeneID:937201"	3145318	3145318	O-succinylbenzoate-CoA synthase (EC 4.2.1.-)	Menaquinone_and_Phylloquinone_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02832
peg.3082	"menE,Bsu3074,NP_390957.1,gi|16080131,GeneID:937132"	3146430	3146430	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	Menaquinone_and_Phylloquinone_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02831
peg.3083	"menB,Bsu3075,NP_390958.1,gi|16080132,GeneID:937195"	3147981	3147981	Naphthoate synthase (EC 4.1.3.36)	Menaquinone_and_Phylloquinone_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05024
peg.3084	"ytxM,Bsu3076,NP_390959.1,gi|16080133,GeneID:937115"	3148831	3148831	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)"	Menaquinone_and_Phylloquinone_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05023|rxn11703
peg.3085	"menD,Bsu3077,NP_390960.1,gi|16080134,GeneID:937198"	3149643	3149643	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	Menaquinone_and_Phylloquinone_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn00203|rxn04675
peg.3086	"menF,Bsu3078,NP_390961.1,gi|16080135,GeneID:937190"	3151382	3151382	Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	Menaquinone_and_Phylloquinone_Biosynthesis|Siderophore_enterobactin_biosynthesis_and_ferric_enterbactin_transport	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Virulence"	rxn01258
peg.3087	"yteA,Bsu3079,NP_390962.1,gi|16080136,GeneID:937192"	3153086	3153086	alternate gene name: yzwB			
peg.3088	"ytdA,Bsu3080,NP_390963.1,gi|16080137,GeneID:937119"	3153813	3153813	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	Streptococcal_Hyaluronic_Acid_Capsule|Sucrose_Metabolism	Cell Wall and Capsule|Carbohydrates	rxn00213
peg.3089	"ytcA,Bsu3081,NP_390964.1,gi|16080138,GeneID:936155"	3154803	3154803	UDP-glucose dehydrogenase (EC 1.1.1.22)	Lipid_A-Ara4N_pathway_(_Polymyxin_resistance_)|Streptococcal_Hyaluronic_Acid_Capsule|Sucrose_Metabolism|Teichuronic_acid_biosynthesis	Cell Wall and Capsule|Carbohydrates	rxn00211
peg.3090	"ytcB,Bsu3082,NP_390965.1,gi|16080139,GeneID:938900"	3156086	3156086	UDP-glucuronate 5'-epimerase (EC 5.1.3.12)			rxn00295|rxn01010
peg.3091	"ytcC,Bsu3083,NP_390966.1,gi|16080140,GeneID:939212"	3157039	3157039	"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)"	LOS_core_oligosaccharide_biosynthesis	Cell Wall and Capsule	
peg.3092	"ytxO,Bsu3084,NP_390967.1,gi|16080141,GeneID:936317"	3158336	3158336	alternate gene name: ytbB			
peg.3093	"cotS,Bsu3085,NP_390968.1,gi|16080142,GeneID:936628"	3158769	3158769	Spore coat protein S	Bsub-Spore-Coat	Cell Wall and Capsule	
peg.3094	"ytxN,Bsu3086,NP_390969.1,gi|16080143,GeneID:936379"	3159839	3159839	"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)"	LOS_core_oligosaccharide_biosynthesis	Cell Wall and Capsule	
peg.3095	"ytaA,Bsu3087,NP_390970.1,gi|16080144,GeneID:936682"	3161162	3161162	spore coat protein			
peg.3096	"ytaB,Bsu3088,NP_390971.1,gi|16080145,GeneID:938164"	3162315	3162315				
peg.3097	"glgP,Bsu3089,NP_390972.1,gi|16080146,GeneID:936630"	3162813	3162813	Glycogen phosphorylase (EC 2.4.1.1)	Glycogen_metabolism|Maltose_and_Maltodextrin_Utilization	Carbohydrates	rxn05740
peg.3098	"glgA,Bsu3090,NP_390973.1,gi|16080147,GeneID:936781"	3165196	3165196	"Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)"	Glycogen_metabolism	Carbohydrates	rxn08615
peg.3099	"glgD,Bsu3091,NP_390974.1,gi|16080148,GeneID:936778"	3166647	3166647	"Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family"	Glycogen_metabolism	Carbohydrates	rxn00695
peg.3100	"glgC,Bsu3092,NP_390975.1,gi|16080149,GeneID:937990"	3167702	3167702	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	Glycogen_metabolism|Sucrose_Metabolism	Carbohydrates	rxn00695
peg.3101	"glgB,Bsu3093,NP_390976.1,gi|16080150,GeneID:937993"	3168841	3168841	"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)"	Glycogen_metabolism|Trehalose_Biosynthesis	Carbohydrates	rxn09399
peg.3102	"yuaJ,Bsu3094,NP_390977.1,gi|16080151,GeneID:937137"	3178376	3178376	Substrate-specific component ThiT of thiamin ECF transporter	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
peg.3103	"yuaI,Bsu3095,NP_390978.1,gi|16080152,GeneID:938830"	3178996	3178996				
peg.3104	"yuaG,Bsu3096,NP_390979.1,gi|16080153,GeneID:937138"	3179535	3179535	flotillin 1			
peg.3105	"yuaF,Bsu3097,NP_390980.1,gi|16080154,GeneID:937144"	3181085	3181085	putative membrane protein			
peg.3106	"yuaE,Bsu3098,NP_390981.1,gi|16080155,GeneID:937143"	3181777	3181777				
peg.3107	"yuaD,Bsu3099,NP_390982.1,gi|16080156,GeneID:937141"	3182271	3182271	MOSC domain protein			
peg.3108	"gbsB,Bsu3100,NP_390983.1,gi|16080157,GeneID:938832"	3182937	3182937	"Alcohol dehydrogenase GbsB (type III ), essential for the utilization of choline (EC 1.1.1.1)"	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn10062
peg.3109	"gbsA,Bsu3101,NP_390984.1,gi|16080158,GeneID:938829"	3184162	3184162	Betaine aldehyde dehydrogenase (EC 1.2.1.8)	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn01868|rxn01867
peg.3110	"yuaC,Bsu3102,NP_390985.1,gi|16080159,GeneID:938843"	3185833	3185833	Putative regulatory protein			
peg.3111	"yuaB,Bsu3103,NP_390986.1,gi|16080160,GeneID:938831"	3186573	3186573				
peg.3112	"yuaA,Bsu3104,NP_390987.1,gi|16080161,GeneID:937145"	3187484	3187484	"Potassium uptake protein, integral membrane component, KtrA"			rxn05595
peg.3113	"yubG,Bsu3105,NP_390988.1,gi|16080162,GeneID:938835"	3188159	3188159	"Potassium uptake protein, integral membrane component, KtrB"			rxn05595
peg.3114	"yubF,Bsu3106,NP_390989.1,gi|16080163,GeneID:937150"	3189532	3189532				
peg.3115	"yubE,Bsu3107,NP_390990.1,gi|16080164,GeneID:937146"	3189904	3189904	"N-acetylmuramoyl-L-alanine amidase, family 4"			rxn02875
peg.3116	"yubD,Bsu3108,NP_390991.1,gi|16080165,GeneID:938834"	3190913	3190913	multidrug resistance protein			
peg.3117	"yubC,Bsu3109,NP_390992.1,gi|16080166,GeneID:938837"	3192933	3192933	YUBC protein			
peg.3118	"yubB,Bsu3110,NP_390993.1,gi|16080167,GeneID:937148"	3193705	3193705	Undecaprenyl-diphosphatase (EC 3.6.1.27)	Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	rxn03901
peg.3119	"yubA,Bsu3111,NP_390994.1,gi|16080168,GeneID:938833"	3194628	3194628	"membrane protein, putative"			
peg.3120	"yulF,Bsu3112,NP_390995.1,gi|16080169,GeneID:937153"	3195976	3195976	Possible oxidoreductase			
peg.3121	"yulE,Bsu3113,NP_390996.1,gi|16080170,GeneID:938836"	3197003	3197003	L-rhamnose isomerase (EC 5.3.1.14)	L-rhamnose_utilization	Carbohydrates	rxn01761
peg.3122	"yulD,Bsu3114,NP_390997.1,gi|16080171,GeneID:937151"	3198303	3198303	L-rhamnose mutarotase	L-rhamnose_utilization	Carbohydrates	
peg.3123	"yulC,Bsu3115,NP_390998.1,gi|16080172,GeneID:938839"	3198635	3198635	Rhamnulokinase (EC 2.7.1.5)	L-rhamnose_utilization	Carbohydrates	rxn01390|rxn02161
peg.3124	"yulB,Bsu3116,NP_390999.1,gi|16080173,GeneID:938838"	3200097	3200097	"Transcriptional regulator of rhamnose utilization, DeoR family"	L-rhamnose_utilization	Carbohydrates	
peg.3125	"yuxG,Bsu3117,NP_391000.1,gi|16080174,GeneID:938841"	3200930	3200930	Predicted lactaldehyde dehydrogenase (EC 1.2.1.22)|Predicted rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	L-rhamnose_utilization	Carbohydrates	rxn01053|rxn01621
peg.3126	"tlpB,Bsu3118,NP_391001.1,gi|16080175,GeneID:937152"	3203137	3203137	methyl-accepting chemotaxis protein			
peg.3127	"mcpA,Bsu3119,NP_391002.1,gi|16080176,GeneID:937154"	3205239	3205239	chemotaxis deficiency toward glucose and alpha-methyl-glucoside			
peg.3128	"tlpA,Bsu3120,NP_391003.1,gi|16080177,GeneID:938840"	3207350	3207350	methyl-accepting chemotaxis protein			
peg.3129	"mcpB,Bsu3121,NP_391004.1,gi|16080178,GeneID:937155"	3209515	3209515	"chemotaxis deficiency toward asparagine, glutamine and histidine"			
peg.3130	"tgl,Bsu3122,NP_391005.1,gi|16080179,GeneID:937158"	3211661	3211661	Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13)	Bacterial_motility:Gliding	Motility and Chemotaxis	
peg.3131	"yugU,Bsu3123,NP_391006.1,gi|16080180,GeneID:937156"	3212923	3212923	NovD			
peg.3132	"yugT,Bsu3124,NP_391007.1,gi|16080181,GeneID:938857"	3213441	3213441	Alpha-glucosidase (EC 3.2.1.20)	Maltose_and_Maltodextrin_Utilization	Carbohydrates	rxn00575|rxn00022
peg.3133	"yugS,Bsu3125,NP_391008.1,gi|16080182,GeneID:937160"	3215232	3215232	Hemolysins and related proteins containing CBS domains			
peg.3134	"yugP,Bsu3126,NP_391009.1,gi|16080183,GeneID:938850"	3216564	3216564				
peg.3135	"yugO,Bsu3127,NP_391010.1,gi|16080184,GeneID:938842"	3217593	3217593	"Kef-type K+ transport system, predicted NAD-binding component"			
