FUNCTIONAL ROLE	GENE ID	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	peg.3258	Photorespiration_(oxidative_C2_cycle)|Pyruvate_Alanine_Serine_Interconversions|Serine-glyoxylate_cycle	Carbohydrates	rxn00272|rxn00422
Serine--pyruvate aminotransferase (EC 2.6.1.51)	peg.3258	Serine-glyoxylate_cycle	Carbohydrates	rxn00272|rxn00422
Allantoate amidohydrolase (EC 3.5.3.9)	peg.3259			rxn01747|rxn03842
Extracellular ribonuclease precursor (EC 3.1.-.-)	peg.3260			
"Multiple sugar ABC transporter, ATP-binding protein"	peg.3261|peg.3886	Fructooligosaccharides(FOS)_and_Raffinose_Utilization|Maltose_and_Maltodextrin_Utilization	Carbohydrates	rxn05147|rxn05173|rxn05194|rxn05162|rxn05167|rxn05160
kinase (ribokinase family)	peg.3263			
Fructoselysine 6-phosphate deglycase (EC 3.5.-.-)	peg.3267			rxn11511
Endo/excinuclease amino terminal domain protein	peg.3268			
D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	peg.3269	"Proline,_4-hydroxyproline_uptake_and_utilization|Pyruvate_Alanine_Serine_Interconversions|Respiratory_dehydrogenases_1"	Amino Acids and Derivatives|Carbohydrates|Respiration	
Iron-sulfur cluster assembly protein SufB	peg.3272	Fe-S_cluster_assembly|Staphylococcal_phi-Mu50B-like_prophages|tRNA_modification_Bacteria	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Virulence|RNA Metabolism"	
Iron-sulfur cluster assembly scaffold protein IscU	peg.3273	Fe-S_cluster_assembly|Wyeosine-MimG_Biosynthesis|tRNA_modification_Archaea|tRNA_modification_Bacteria	"Cofactors, Vitamins, Prosthetic Groups, Pigments|RNA Metabolism"	
Iron-sulfur cluster assembly protein SufD	peg.3275	Fe-S_cluster_assembly|tRNA_modification_Bacteria	"Cofactors, Vitamins, Prosthetic Groups, Pigments|RNA Metabolism"	
Iron-sulfur cluster assembly ATPase protein SufC	peg.3276	Fe-S_cluster_assembly|YgfZ|tRNA_modification_Bacteria	"Cofactors, Vitamins, Prosthetic Groups, Pigments|RNA Metabolism"	
YURZ protein	peg.3277			
Methionine ABC transporter permease protein	peg.3279	Methionine_Biosynthesis|Methionine_Degradation	Amino Acids and Derivatives	rxn05219|rxn05183
"Toprim, The Topoisomerase- primase domain- a nucleotidyl transferase/hydrolase domain"	peg.3283			
Glycine cleavage system H protein	peg.3285	Glycine_and_Serine_Utilization|Glycine_cleavage_system|Photorespiration_(oxidative_C2_cycle)	Amino Acids and Derivatives|Carbohydrates	rxn00908
Enoyl-CoA hydratase [isoleucine degradation] (EC 4.2.1.17)	peg.3289	Isobutyryl-CoA_to_Propionyl-CoA_Module|Isoleucine_degradation	Carbohydrates|Amino Acids and Derivatives	rxn01451|rxn02933|rxn03239|rxn03246|rxn04750|rxn03242|rxn03244|rxn03249|rxn06777
Spore coat F-containing protein	peg.3291			
probable tautomerase	peg.3294			
Iron(III) dicitrate transport ATP-binding protein FecE (TC 3.A.1.14.1)	peg.3299	ABC_transporter_iron(III)_dicitrate_(TC_3.A.1.14.1)	Membrane Transport	rxn05557
Oligoendopeptidase F	peg.3301			
serine protease	peg.3305			
Transcriptional regulatory protein cssR	peg.3307			
Fumarate hydratase class II (EC 4.2.1.2)	peg.3310	TCA_Cycle	Carbohydrates	rxn00799
"Spore germination protein GerAA, germination response to L-alanine and related amino acids (earliest stage)"	peg.3311			
"Spore germination protein GerAB, germination response to L-alanine and related amino acids (earliest stage)"	peg.3312			
"Spore germination protein GerAC, germination response to L-alanine and related amino acids (earliest stage)"	peg.3313			
Response regulator LiaR	peg.3314	Bacitracin_Stress_Response	Stress Response	
Sensor histidine kinase LiaS	peg.3315	Bacitracin_Stress_Response	Stress Response	
Transporter LiaF	peg.3316	Bacitracin_Stress_Response	Stress Response	
Conserved protein LiaG in B. subtilis in Lia cluster	peg.3317	Bacitracin_Stress_Response	Stress Response	
"Protein LiaH, similar to phage shock protein A"	peg.3318	Bacitracin_Stress_Response	Stress Response	
Protein LiaI	peg.3319	Bacitracin_Stress_Response	Stress Response	
Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17)	peg.3321	Coenzyme_B12_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Adenosylcobinamide amidohydrolase (EC 3.5.1.90)	peg.3322	Coenzyme_B12_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05187|rxn05515
"Vitamin B12 ABC transporter, ATPase component BtuD"	peg.3322	Coenzyme_B12_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05187|rxn05515
"Vitamin B12 ABC transporter, permease component BtuC"	peg.3323	Coenzyme_B12_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05187|rxn05515
"Vitamin B12 ABC transporter, B12-binding component BtuF"	peg.3324	Coenzyme_B12_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05187|rxn05515
Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	peg.3325|peg.3365|peg.3989			
Gluconolactonase (EC 3.1.1.17)	peg.3326	Entner-Doudoroff_Pathway	Carbohydrates	rxn01107
RNA polymerase sigma factor	peg.3329	Regulation_of_Oxidative_Stress_Response	Stress Response	
ABC transporter permease protein	peg.3332			
Ferrichrome transport system permease protein fhuG	peg.3337	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)	Membrane Transport	rxn05188|rxn05558
Ferrichrome transport system permease protein fhuB (TC 3.A.1.14.3)	peg.3338	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)|Iron_acquisition_in_Vibrio	Membrane Transport|Virulence	rxn05188|rxn05558
Ferrichrome-binding periplasmic protein precursor (TC 3.A.1.14.3)	peg.3339	ABC_transporter_ferrichrome_(TC_3.A.1.14.3)|Iron_acquisition_in_Vibrio	Membrane Transport|Virulence	rxn05188|rxn05558
Arginine/ornithine antiporter ArcD	peg.3340	Arginine_Deiminase_Pathway|Arginine_and_Ornithine_Degradation|Polyamine_Metabolism	Amino Acids and Derivatives	rxn05303|rxn05628
LexA regulated	peg.3341			
Predicted molybdate-responsive regulator YvgK in bacilli	peg.3343			rxn05619
"Molybdenum ABC transporter, periplasmic molybdenum-binding protein modA (TC 3.A.1.8.1)"	peg.3344	ABC_transporter_molybdenum_(TC_3.A.1.8.1)|ABC_transporter_tungstate_(TC_3.A.1.6.2)	Membrane Transport	rxn05619
Molybdenum transport system permease protein modB (TC 3.A.1.8.1)	peg.3345	ABC_transporter_molybdenum_(TC_3.A.1.8.1)|ABC_transporter_tungstate_(TC_3.A.1.6.2)	Membrane Transport	rxn05619
Na+:H+ antiporter	peg.3348			
Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)	peg.3349	Cysteine_Biosynthesis|Inorganic_Sulfur_Assimilation|Sulfate_assimilation|Superpathway_of_cysteine_biosynthesis	Amino Acids and Derivatives|Sulfur Metabolism	rxn00623
Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)	peg.3350	Cysteine_Biosynthesis|Inorganic_Sulfur_Assimilation|Sulfate_assimilation|Superpathway_of_cysteine_biosynthesis	Amino Acids and Derivatives|Sulfur Metabolism	rxn00623
ATP-dependent DNA helicase rep (EC 3.6.1.-)	peg.3351			
"Disulfide bond formation protein BdbC, competence-related"	peg.3353			
"Disulfide bond formation protein BdbD, competence-related"	peg.3354			
Copper(I) chaperone copZ	peg.3357			
YVGZ protein	peg.3358			
Ethidium bromide-methyl viologen resistance protein EmrE	peg.3363			
tmRNA-binding protein SmpB	peg.3366	Staphylococcal_pathogenicity_islands_SaPI|Trans-translation_by_stalled_ribosomes|Translation_factors_bacterial	Virulence|Protein Metabolism	
Ribonuclease R (EC 3.1.-.-)	peg.3367	"RNA_processing_and_degradation,_bacterial"	RNA Metabolism	
Preprotein translocase subunit SecG (TC 3.A.5.1.1)	peg.3369	General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)|HtrA_and_Sec_secretion|Murein_hydrolase_regulation_and_cell_death	Protein Metabolism|Cell Division and Cell Cycle	
hydrolase	peg.3370			
YVAN protein	peg.3372			
YVAO protein	peg.3373			
"Choline ABC transport system, permease protein OpuBD"	peg.3376	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05184|rxn05159
"Choline ABC transport system, choline-binding protein OpuBC"	peg.3377	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05184|rxn05159
"Choline ABC transport system, permease protein OpuBB"	peg.3378	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05184|rxn05159
"Choline ABC transport system, ATP-binding protein OpuBA"	peg.3379	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05184|rxn05159
portion of orf between proU operon and 181 operon	peg.3380|peg.3390			
Transcriptional repressor sdpR	peg.3385			
"Osmotically activated L-carnitine/choline ABC transporter, permease protein OpuCD"	peg.3386	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05550|rxn05184|rxn05180|rxn05159
"Osmotically activated L-carnitine/choline ABC transporter, substrate-binding protein OpuCC"	peg.3387	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05550|rxn05184|rxn05180|rxn05159
"Osmotically activated L-carnitine/choline ABC transporter, permease protein OpuCB"	peg.3388	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05550|rxn05184|rxn05180|rxn05159
"Osmotically activated L-carnitine/choline ABC transporter, ATP-binding protein OpuCA"	peg.3389	Choline_and_Betaine_Uptake_and_Betaine_Biosynthesis	Amino Acids and Derivatives	rxn05550|rxn05184|rxn05180|rxn05159
Multiple antibiotic resistance protein marC	peg.3391			
Enolase (EC 4.2.1.11)	peg.3396	"Dehydrogenase_complexes|Entner-Doudoroff_Pathway|Glycolysis_and_Gluconeogenesis|Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes|Serine-glyoxylate_cycle"	Carbohydrates	rxn00459
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)"	peg.3397	"Entner-Doudoroff_Pathway|Glycolysis_and_Gluconeogenesis|Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes"	Carbohydrates	rxn01106
Triosephosphate isomerase (EC 5.3.1.1)	peg.3398	"Calvin-Benson_cycle|Dihydroxyacetone_kinases|Glycolysis_and_Gluconeogenesis|Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes|MLST"	Carbohydrates|Virulence	rxn00747
Phosphoglycerate kinase (EC 2.7.2.3)	peg.3399	"Calvin-Benson_cycle|Entner-Doudoroff_Pathway|Glycolysis_and_Gluconeogenesis|Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes|YgfZ"	"Carbohydrates|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01100
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	peg.3400	Calvin-Benson_cycle|Entner-Doudoroff_Pathway|Glycolysis_and_Gluconeogenesis|Pyridoxin_(Vitamin_B6)_Biosynthesis|Redox-dependent_regulation_of_nucleus_processes	"Carbohydrates|Cofactors, Vitamins, Prosthetic Groups, Pigments|Stress Response"	rxn00781
Central glycolytic genes regulator	peg.3401			
Arabinose-proton symporter	peg.3402	L-Arabinose_utilization	Carbohydrates	rxn05566|rxn05500|rxn05671
Transcriptional repressor of the arabinose operon	peg.3403	L-Arabinose_utilization	Carbohydrates	
"Putative peptidoglycan hydrolase YvbX, NOT involved in spore germination"	peg.3408			
"Predicted L-lactate dehydrogenase, Iron-sulfur cluster-binding subunit YkgF"	peg.3410	Lactate_utilization	Carbohydrates	
"Predicted L-lactate dehydrogenase, Fe-S oxidoreductase subunit YkgE"	peg.3411	Lactate_utilization	Carbohydrates	
putative hydrolase	peg.3416			
"Arabinogalactan endo-1,4-beta-galactosidase precursor (EC 3.2.1.89)"	peg.3418			
"Maltose/maltodextrin ABC transporter, permease protein MalG"	peg.3420|peg.3465	Maltose_and_Maltodextrin_Utilization	Carbohydrates	
"Maltose/maltodextrin ABC transporter, permease protein MalF"	peg.3421|peg.3466	Maltose_and_Maltodextrin_Utilization	Carbohydrates	
"Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE"	peg.3422|peg.3467	Alpha-Amylase_locus_in_Streptocococcus|Maltose_and_Maltodextrin_Utilization	Carbohydrates	
negative regulation of the beta-galactosidase gene (lacA)	peg.3423			
"Lactate-responsive regulator LldR in Firmicutes, GntR family"	peg.3424	Lactate_utilization	Carbohydrates	
Polysaccharide polymerization protein	peg.3428			
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	peg.3429	N-linked_Glycosylation_in_Bacteria	Virulence	
Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-)	peg.3431	N-linked_Glycosylation_in_Bacteria	Virulence	
"glycosyl transferase, family 2"	peg.3434			
COG5039: Exopolysaccharide biosynthesis protein	peg.3435|peg.4009			
similar to spore coat polysaccharide biosynthesis	peg.3436			
capsular polysaccharide biosynthesis protein	peg.3437	Rhamnose_containing_glycans|Vibrio_Core_Oligosaccharide_Biosynthesis	Cell Wall and Capsule	
glycosyltransferase	peg.3439			
Capsular polysaccharide biosynthesis	peg.3441			
capsular polysaccharide biosynthesis	peg.3442|peg.3443			
"Slr, positive regulator of the extracellular matrix biosynthesis operon yqxM-sipW-tasA"	peg.3444			
para-nitrobenzyl esterase (intracellular esterase B)	peg.3445			
ferulate decarboxylase	peg.3446			
amino acid racemase	peg.3449			
Penicillin-binding protein 4	peg.3450			
Levansucrase (EC 2.4.1.10)	peg.3451	Sucrose_Metabolism	Carbohydrates	
Levanase	peg.3452			
Teg protein	peg.3459			
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	peg.3460	"Proteasome_bacterial|Proteolysis_in_bacteria,_ATP-dependent"	Protein Metabolism	
Beta-phosphoglucomutase (EC 5.4.2.6)	peg.3461	Maltose_and_Maltodextrin_Utilization|Trehalose_Uptake_and_Utilization	Carbohydrates	rxn01967
Neopullulanase (EC 3.2.1.135)	peg.3462|peg.3468	Maltose_and_Maltodextrin_Utilization	Carbohydrates	rxn01259|rxn09989|rxn05746
Maltose phosphorylase (EC 2.4.1.8)	peg.3463	Maltose_and_Maltodextrin_Utilization	Carbohydrates	rxn01966|rxn01132
Maltodextrose utilization protein MalA	peg.3464	Maltose_and_Maltodextrin_Utilization	Carbohydrates	
"Maltose operon transcriptional repressor MalR, LacI family"	peg.3469	Maltose_and_Maltodextrin_Utilization	Carbohydrates	
Lysine decarboxylase family	peg.3470			rxn00322
MazG related NTP pyrophosphohydrolase	peg.3471			
Glyoxylate reductase (EC 1.1.1.26)	peg.3474	"Glycolate,_glyoxylate_interconversions"	Carbohydrates	rxn00512|rxn00324
Glyoxylate reductase (EC 1.1.1.79)	peg.3474	"Glycolate,_glyoxylate_interconversions"	Carbohydrates	rxn00512|rxn00324
ABC transporter permease protein YvcS	peg.3475|peg.3968	Bacitracin_Stress_Response	Stress Response	
ABC transporter ATP-binding protein YvcR	peg.3476|peg.3969	Bacitracin_Stress_Response	Stress Response	
Two-component sensor kinase YvcQ	peg.3477|peg.3970	Bacitracin_Stress_Response	Stress Response	
Two-component response regulator YvcP	peg.3478|peg.3971	Bacitracin_Stress_Response	Stress Response	
N-hydroxyarylamine O-acetyltransferase (EC 2.3.1.118)	peg.3479			rxn02825
Catabolite repression HPr-like protein Crh	peg.3480			
"Hypothetical ATP-binding protein UPF0042, contains P-loop"	peg.3483			
"Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)"	peg.3484	Nudix_proteins_(nucleoside_triphosphate_hydrolases)	Nucleosides and Nucleotides	
Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	peg.3492	Histidine_Biosynthesis|YgfZ	"Amino Acids and Derivatives|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn02834|rxn02835
Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	peg.3492	Histidine_Biosynthesis	Amino Acids and Derivatives	rxn02834|rxn02835
Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	peg.3493	Histidine_Biosynthesis	Amino Acids and Derivatives	rxn03135
Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)	peg.3494	Histidine_Biosynthesis|Tryptophan_synthesis	Amino Acids and Derivatives	rxn03175
Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	peg.3495	Histidine_Biosynthesis	Amino Acids and Derivatives	rxn03135
Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	peg.3496	Histidine_Biosynthesis	Amino Acids and Derivatives	rxn02473
Histidinol dehydrogenase (EC 1.1.1.23)	peg.3497	Histidine_Biosynthesis	Amino Acids and Derivatives	rxn00863|rxn02159
ATP phosphoribosyltransferase catalytic subunit (EC 2.4.2.17)	peg.3498	Histidine_Biosynthesis	Amino Acids and Derivatives	rxn00789
ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17)	peg.3499	Histidine_Biosynthesis	Amino Acids and Derivatives	rxn00789
HrpW protein	peg.3501			
bacterial transferase hexapeptide domain protein	peg.3502			
Inorganic pyrophospatase PpaX	peg.3503			rxn00001
Nucleoside binding-domain containing protein	peg.3504			
Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	peg.3505	Lipoprotein_Biosynthesis	Protein Metabolism	
HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)	peg.3506	Mannitol_Utilization	Carbohydrates	
N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	peg.3507	Chitin_and_N-acetylglucosamine_utilization|Sialic_Acid_Metabolism	Carbohydrates|Cell Wall and Capsule	rxn01484
"Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family"	peg.3509	Chitin_and_N-acetylglucosamine_utilization	Carbohydrates	
cytochrome P450-like enzyme	peg.3512			
YVMC	peg.3513			
Flagellin	peg.3521	Motility_of_Campylobacter	Motility and Chemotaxis	
Excinuclease ABC subunit A	peg.3522	"DNA_repair,_UvrABC_system"	DNA Metabolism	
Excinuclease ABC subunit B	peg.3523	"DNA_repair,_UvrABC_system"	DNA Metabolism	
"Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase"	peg.3525	"Glycolysis_and_Gluconeogenesis|Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP"	Carbohydrates	
Swarming motility protein SwrA	peg.3529			
carboxyl-terminal protease	peg.3530			
Cell division protein FtsX	peg.3531	Bacterial_Cell_Division|Bacterial_motility:Gliding|General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)	Cell Division and Cell Cycle|Motility and Chemotaxis|Protein Metabolism	
"Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)"	peg.3532	Bacterial_Cell_Division|General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)	Cell Division and Cell Cycle|Protein Metabolism	
cytochrome c551	peg.3533			
Peptide chain release factor 2	peg.3535	Programmed_frameshift|Translation_factors_bacterial	Protein Metabolism	
programmed frameshift-containing	peg.3535	Programmed_frameshift	Protein Metabolism	
Peptide chain release factor 2 unshifted fragment	peg.4116	Programmed_frameshift	Protein Metabolism	
Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	peg.3536	General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)|HtrA_and_Sec_secretion	Protein Metabolism	
Ribosomal subunit interface protein	peg.3537	Ribosome_activity_modulation	Protein Metabolism	
flagellar protein	peg.3538|peg.3550			
Flagellar biosynthesis protein fliS	peg.3539	Flagellum	Motility and Chemotaxis	
Flagellar hook-associated protein fliD	peg.3540	Flagellum	Motility and Chemotaxis	
CDS_ID OB2502	peg.3541			
Flagellin protein FlaA	peg.3542	Flagellum	Motility and Chemotaxis	
Carbon storage regulator homolog	peg.3543			
Transmembrane protein	peg.3544			
Flagellar hook-associated protein flgL	peg.3546	Flagellum	Motility and Chemotaxis	
Flagellar hook-associated protein flgK	peg.3547	Flagellum	Motility and Chemotaxis	
CDS_ID OB2508	peg.3548			
Negative regulator of flagellin synthesis	peg.3549	Flagellum	Motility and Chemotaxis	
ComF operon protein C	peg.3551	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
late competence gene	peg.3552			
"ComF operon protein A, DNA transporter ATPase"	peg.3553	Gram_Positive_Competence|Late_competence|gram_plus_late_competence	DNA Metabolism	
essential for degradative enzyme (sacB and degQ) expression and competence regulation (positive regulation of comK expression)	peg.3555			
degradative enzyme and competence regulation	peg.3556			
hypothetical conserved protein COG1739	peg.3557			
"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)"	peg.3558|peg.3571|peg.3591			rxn10318|rxn10322|rxn10316|rxn10324|rxn10320|rxn10319|rxn10317|rxn10321|rxn10323
Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)	peg.3559	Methicillin_resistance_in_Staphylococci|Teichoic_and_lipoteichoic_acids_biosynthesis|Teichuronic_acid_biosynthesis	Virulence|Cell Wall and Capsule	rxn10307|rxn10308|rxn10311|rxn10312|rxn10310|rxn10314|rxn10315|rxn10309|rxn08040|rxn10313
Putative teichuronic acid biosynthesis glycosyl transferase TuaH	peg.3560	Teichuronic_acid_biosynthesis	Cell Wall and Capsule	rxn09996
Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase	peg.3561	Teichuronic_acid_biosynthesis	Cell Wall and Capsule	rxn09996
Teichuronic acid biosynthesis protein TuaF	peg.3562	Teichuronic_acid_biosynthesis	Cell Wall and Capsule	rxn09996
"Teichuronic acid biosynthesis protein TuaE, putative secreted polysaccharide polymerase"	peg.3563	Teichuronic_acid_biosynthesis	Cell Wall and Capsule	rxn09996
Putative teichuronic acid biosynthesis glycosyl transferase TuaC	peg.3565	Teichuronic_acid_biosynthesis	Cell Wall and Capsule	rxn09996
Teichuronic acid biosynthesis protein TuaB	peg.3566	Teichuronic_acid_biosynthesis	Cell Wall and Capsule	rxn09996
Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase	peg.3567			rxn09996
teichuronic acid biosynthesis glycosyltransferase TuaA	peg.3567			rxn09996
N-acetylmuramoyl-L-alanine amidase (major autolysin) (CWBP49)	peg.3568			rxn02875
modifier protein of major autolysin LytC (CWBP76)	peg.3569			
involved in the secretion of major autolysin LytC (amidase)	peg.3570			
UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	peg.3572	CMP-N-acetylneuraminate_Biosynthesis|Sialic_Acid_Metabolism|Vibrio_Polysaccharide_(VPS)_Biosynthesis	Cell Wall and Capsule|Virulence	rxn00292|rxn00297
Minor teichoic acid biosynthesis protein GgaB	peg.3574	Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	rxn10197
Minor teichoic acid biosynthesis protein GgaA	peg.3575	Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	rxn10197
Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	peg.3577	Rhamnose_containing_glycans|Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	rxn10195|rxn10194|rxn10196
Teichoic acid translocation permease protein TagG	peg.3578	Rhamnose_containing_glycans|Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	rxn10195|rxn10194|rxn10196
CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	peg.3579	Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	rxn10295|rxn10293|rxn10297|rxn10292|rxn10296|rxn10290|rxn10291|rxn10294|rxn10192|rxn10289
Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	peg.3580	Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	rxn10304|rxn10193|rxn10299|rxn10300|rxn10302|rxn10305|rxn10298|rxn10301|rxn10306|rxn10303
Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)	peg.3581	Rhamnose_containing_glycans|Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	rxn00621
N-acetylmannosaminyltransferase (EC 2.4.1.187)	peg.3582	Teichoic_and_lipoteichoic_acids_biosynthesis|Vibrio_Polysaccharide_(VPS)_Biosynthesis	Cell Wall and Capsule|Virulence	rxn03852
"CDP-glycerol: N-acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase"	peg.3583	Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule	rxn10192
Putative major teichoic acid biosynthesis protein C	peg.3584	Staphylococcal_phi-Mu50B-like_prophages|Teichoic_and_lipoteichoic_acids_biosynthesis	Virulence|Cell Wall and Capsule	
hydrolyses bond between the N-acetylglucosaminyl and the N-acetylmuramyl residues in the glycan chain	peg.3585			rxn02495
"Spore germination protein GerBA, germination response to combination of glucose, fructose, L-asparagine, and K+ (earliest stage)"	peg.3587			
"Spore germination protein GerBB, germination response to combination of glucose, fructose, L-asparagine, and K+ (earliest stage)"	peg.3588			
"Spore germination protein GerBC, germination response to combination of glucose, fructose, L-asparagine, and K+ (earliest stage)"	peg.3589			
Sugar symporter	peg.3590			
"Gamma-DL-glutamyl hydrolase PgsS (EC 3.4.19.-), catalyzes PGA release"	peg.3593	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	
Poly-gamma-glutamate synthase subunit PgsE/CapE (EC 6.3.2.-)	peg.3594	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	
Poly-gamma-glutamate synthase subunit PgsA/CapA (EC 6.3.2.-)	peg.3595	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	
Poly-gamma-glutamate synthase subunit PgsC/CapC (EC 6.3.2.-)	peg.3596	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	
Poly-gamma-glutamate synthase subunit PgsB/CapB (EC 6.3.2.-)	peg.3597	Poly-gamma-glutamate_biosynthesis	Amino Acids and Derivatives	
Ribose operon repressor	peg.3598	D-ribose_utilization	Carbohydrates	
Ribokinase (EC 2.7.1.15)	peg.3599	D-ribose_utilization|Deoxyribose_and_Deoxynucleoside_Catabolism	Carbohydrates	rxn00772|rxn01987
"Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)"	peg.3600	D-ribose_utilization	Carbohydrates	rxn05549|rxn05644|rxn05160
"Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)"	peg.3601	D-ribose_utilization	Carbohydrates	rxn05549|rxn05644|rxn05160
"Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)"	peg.3602	D-ribose_utilization	Carbohydrates	rxn05549|rxn05644|rxn05160
"Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)"	peg.3603	D-ribose_utilization	Carbohydrates	rxn05549|rxn05644|rxn05160
Alpha-acetolactate decarboxylase (EC 4.1.1.5)	peg.3607	"Acetoin,_butanediol_metabolism|Alpha-acetolactate_operon|Murein_hydrolase_regulation_and_cell_death"	Carbohydrates|Cell Division and Cell Cycle	rxn02113
